    INT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT      ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,              FLOAT               ,     FLOAT      ,    FLOAT     ,         FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       , BOOL  , BOOL ,     BOOL      ,        BOOL         ,        INT         ,      INT      ,        INT         ,      INT      , INT  
     -      ,     Msol     ,     Msol     ,        AU        ,        -        ,                -                 ,       -        ,      -       ,           -           ,                -                 ,       -        ,      -       ,           -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,         -         ,         -         , State ,Event ,     Event     ,        Event        ,         -          ,       -       ,         -          ,       -       ,  -   
    SEED    , Mass@ZAMS(1) , Mass@ZAMS(2) ,SemiMajorAxis@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number(1),SN_Kick_Theta(1),SN_Kick_Phi(1),SN_Kick_Mean_Anomaly(1),SN_Kick_Magnitude_Random_Number(2),SN_Kick_Theta(2),SN_Kick_Phi(2),SN_Kick_Mean_Anomaly(2),Omega@ZAMS(1) ,Omega@ZAMS(2) ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,  LBV_Factor  ,  WR_Factor   ,   CE_Alpha   ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),Unbound,Merger,Merger_At_Birth,Equilibrated_At_Birth,Stellar_Type@ZAMS(1),Stellar_Type(1),Stellar_Type@ZAMS(2),Stellar_Type(2),Error 
  1605160536,  2.261223e+01,  1.976447e+01,      1.122737e+00,     0.000000e+00,                      8.740607e-01,    4.586779e+00, -5.203964e-01,           1.131858e-01,                      2.625695e-01,    2.038992e+00,  5.155230e-01,           3.837783e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,             15,                   1,              7,     0
  1605160537,  1.362050e+01,  5.812525e+00,      8.378096e-01,     0.000000e+00,                      6.108021e-01,    2.038992e+00,  5.155230e-01,           1.579517e+00,                      6.354435e-01,    1.387764e+00,  1.861665e-01,           4.586779e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,              7,                   1,             15,     0
  1605160538,  2.430119e+01,  8.609355e+00,      2.280011e+00,     0.000000e+00,                      7.966152e-01,    5.060501e+00, -1.235762e+00,           6.174517e+00,                      5.171999e-02,    5.587687e-01, -1.917810e-01,           4.966589e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              1,     0
  1605160539,  1.045933e+01,  3.759010e+00,      1.948768e-01,     0.000000e+00,                      4.839836e-01,    2.604781e+00,  2.360366e-01,           8.447298e-02,                      4.022711e-01,    7.519019e-01,  5.753368e-01,           3.874097e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,0,1,0,0,                   1,             13,                   1,             15,     0
  1605160540,  1.023667e+01,  9.717590e+00,      3.474342e+01,     0.000000e+00,                      3.368665e-01,    2.098281e+00,  6.694411e-01,           4.857116e+00,                      1.587583e-01,    5.265019e+00, -5.161743e-01,           3.522895e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              4,     0
  1605160541,  1.720764e+01,  3.827798e+00,      7.407607e+02,     0.000000e+00,                      3.955230e-01,    1.154376e+00, -1.086515e+00,           5.058295e+00,                      9.543939e-01,    3.158243e+00,  5.337526e-01,           4.151464e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              1,     0
  1605160542,  9.874302e+00,  9.253296e+00,      1.590477e+01,     0.000000e+00,                      7.209250e-01,    5.699738e+00, -1.047027e+00,           5.866868e+00,                      9.662067e-01,    4.110794e+00,  1.210269e-01,           4.041949e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              1,     0
  1605160543,  1.217379e+01,  8.313892e+00,      3.258345e+02,     0.000000e+00,                      5.166921e-02,    6.232574e-01,  6.598859e-01,           6.222600e+00,                      8.975854e-01,    3.418023e+00, -6.095864e-01,           5.887899e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,       2.000000e-02,       2.000000e-02,1,0,0,0,                   1,             13,                   1,              1,     0
