    INT     ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,        INT         ,        INT         ,      INT      ,      INT      ,     FLOAT      ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,     FLOAT     ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT     ,       FLOAT       ,       FLOAT       ,   INT    ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,       FLOAT       ,     FLOAT      ,     FLOAT      
     -      ,      Myr       ,      Myr       ,     Rsol     ,      -       ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol     ,     Msol      ,     Msol      ,     Msol      ,     Msol      ,     Rsol     ,     Rsol     ,      -       ,      -       ,      -       ,      -       ,    yr^-1     ,    yr^-1     ,    yr^-1     ,    yr^-1     ,         -          ,         -          ,       -       ,       -       ,      Myr       ,      Myr       ,     Lsol     ,     Lsol     ,      K       ,      K       ,Msol*AU^2*yr^-1,Msol*AU^2*yr^-1,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,       -        ,       -        ,         -         ,         -         ,      -       ,      -       ,        -        ,        -        ,     Msol     ,     Msol     ,     Msol     ,     Msol     , Msol*AU^2*yr^-1  ,Msol*AU^2*yr^-2,         -         ,         -         ,    -     ,       Tesla       ,       Tesla       ,       rad/s       ,       rad/s       ,      rad/s^2      ,      rad/s^2      ,      Myr       ,      Myr       
    SEED    ,       dT       ,      Time      ,SemiMajorAxis , Eccentricity , Mass@ZAMS(1) , Mass@ZAMS(2) ,  Mass_0(1)   ,  Mass_0(2)   ,   Mass(1)    ,   Mass(2)    , Mass_Env(1)  , Mass_Env(2)  , Mass_Core(1) , Mass_Core(2) ,Mass_He_Core(1),Mass_He_Core(2),Mass_CO_Core(1),Mass_CO_Core(2),  Radius(1)   ,  Radius(2)   ,RocheLobe_1/a ,RocheLobe_2/a , Radius_1/RL  , Radius_2/RL  ,   Omega(1)   ,   Omega(2)   ,Omega_Break(1),Omega_Break(2),Stellar_Type@ZAMS(1),Stellar_Type@ZAMS(2),Stellar_Type(1),Stellar_Type(2),     Age(1)     ,     Age(2)     ,Luminosity(1) ,Luminosity(2) ,   Teff(1)    ,   Teff(2)    ,Ang_Momentum(1),Ang_Momentum(2),Tau_Dynamical(1),Tau_Dynamical(2), Tau_Thermal(1) , Tau_Thermal(2) , Tau_Nuclear(1) , Tau_Nuclear(2) ,Zeta_Soberman(1),Zeta_Soberman(2),Zeta_SoberMan_He(1),Zeta_SoberMan_He(2),Zeta_Hurley(1),Zeta_Hurley(2),Zeta_Hurley_He(1),Zeta_Hurley_He(2),  dmWinds(1)  ,  dmWinds(2)  ,   dmMT(1)    ,   dmMT(2)    ,Ang_Momentum_Total, Energy_Total  ,Metallicity@ZAMS(1),Metallicity@ZAMS(2),MT_History,Pulsar_Mag_Field(1),Pulsar_Mag_Field(2),Pulsar_Spin_Freq(1),Pulsar_Spin_Freq(2),Pulsar_Spin_Down(1),Pulsar_Spin_Down(2), Tau_Radial(1)  , Tau_Radial(2)  
  1605160542,  0.00000000e+00,  0.00000000e+00,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.912482e+00,  3.765152e+00,  3.845565e-01,  3.733110e-01,  2.974826e-03,  2.949043e-03,  0.000000e+00,  0.000000e+00,  8.044691e+03,  8.249147e+03,                   1,                   1,              1,              1,  0.00000000e+00,  0.00000000e+00,  5.331936e+03,  4.325709e+03,  2.496161e+04,  2.414908e+04,   0.000000e+00,   0.000000e+00,  1.23138897e-10,  1.20086880e-10,  1.40215766e-01,  1.57715467e-01,  1.85191692e+01,  2.13913949e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00, -1.00000000e+00, -1.00000000e+00
  1605160542,  2.48504764e-04,  2.48504764e-04,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.912501e+00,  3.765168e+00,  3.845565e-01,  3.733110e-01,  2.974841e-03,  2.949056e-03,  0.000000e+00,  0.000000e+00,  8.044631e+03,  8.249093e+03,                   1,                   1,              1,              1,  2.48504764e-04,  2.48504764e-04,  5.331959e+03,  4.325726e+03,  2.496158e+04,  2.414905e+04,   0.000000e+00,   0.000000e+00,  1.23139808e-10,  1.20087665e-10,  1.40214448e-01,  1.57714164e-01,  1.85190865e+01,  2.13913114e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  0.00000000e+00,  0.00000000e+00
  1605160542,  2.48504764e-01,  2.48753269e-01,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.931856e+00,  3.781610e+00,  3.845565e-01,  3.733110e-01,  2.989557e-03,  2.961934e-03,  0.000000e+00,  0.000000e+00,  7.985302e+03,  8.195352e+03,                   1,                   1,              1,              1,  2.48753269e-01,  2.48753269e-01,  5.356100e+03,  4.342826e+03,  2.492820e+04,  2.412027e+04,   0.000000e+00,   0.000000e+00,  1.24054709e-10,  1.20875135e-10,  1.38895372e-01,  1.56410153e-01,  1.84356204e+01,  2.13070847e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  5.02327409e+04,  5.69067705e+04
  1605160542,  2.48504764e-01,  4.97258034e-01,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.951315e+00,  3.798129e+00,  3.845565e-01,  3.733110e-01,  3.004353e-03,  2.974873e-03,  0.000000e+00,  0.000000e+00,  7.926388e+03,  8.141946e+03,                   1,                   1,              1,              1,  4.97258034e-01,  4.97258034e-01,  5.380910e+03,  4.360349e+03,  2.489549e+04,  2.409201e+04,   0.000000e+00,   0.000000e+00,  1.24976764e-10,  1.21668011e-10,  1.37574104e-01,  1.55104038e-01,  1.83506178e+01,  2.12214549e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  5.02133005e+07,  5.68894165e+07
  1605160542,  2.48504764e-01,  7.45762798e-01,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.970885e+00,  3.814730e+00,  3.845565e-01,  3.733110e-01,  3.019233e-03,  2.987876e-03,  0.000000e+00,  0.000000e+00,  7.867864e+03,  8.088855e+03,                   1,                   1,              1,              1,  7.45762798e-01,  7.45762798e-01,  5.406398e+03,  4.378302e+03,  2.486342e+04,  2.406423e+04,   0.000000e+00,   0.000000e+00,  1.25906393e-10,  1.22466574e-10,  1.36250684e-01,  1.53795850e-01,  1.82641034e+01,  2.11344415e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  5.01744839e+07,  5.68547573e+07
  1605160542,  2.48504764e-01,  9.94267563e-01,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  3.990575e+00,  3.831419e+00,  3.845565e-01,  3.733110e-01,  3.034204e-03,  3.000947e-03,  0.000000e+00,  0.000000e+00,  7.809704e+03,  8.036062e+03,                   1,                   1,              1,              1,  9.94267563e-01,  9.94267563e-01,  5.432574e+03,  4.396687e+03,  2.483197e+04,  2.403693e+04,   0.000000e+00,   0.000000e+00,  1.26844023e-10,  1.23271115e-10,  1.34925160e-01,  1.52485624e-01,  1.81761023e+01,  2.10460644e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  5.01163809e+07,  5.68028562e+07
  1605160542,  2.48504764e-01,  1.24277233e+00,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.010393e+00,  3.848202e+00,  3.845565e-01,  3.733110e-01,  3.049272e-03,  3.014092e-03,  0.000000e+00,  0.000000e+00,  7.751887e+03,  7.983550e+03,                   1,                   1,              1,              1,  1.24277233e+00,  1.24277233e+00,  5.459445e+03,  4.415511e+03,  2.480111e+04,  2.401009e+04,   0.000000e+00,   0.000000e+00,  1.27790096e-10,  1.24081927e-10,  1.33597588e-01,  1.51173400e-01,  1.80866400e+01,  2.09563437e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  5.00391250e+07,  5.67338073e+07
  1605160542,  2.48504764e-01,  1.49127709e+00,  3.420036e+03,  0.000000e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  9.874302e+00,  9.253296e+00,  0.000000e+00,  0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,   0.000000e+00,  4.030348e+00,  3.865083e+00,  3.845565e-01,  3.733110e-01,  3.064445e-03,  3.027314e-03,  0.000000e+00,  0.000000e+00,  7.694387e+03,  7.931303e+03,                   1,                   1,              1,              1,  1.49127709e+00,  1.49127709e+00,  5.487021e+03,  4.434777e+03,  2.477082e+04,  2.398369e+04,   0.000000e+00,   0.000000e+00,  1.28745064e-10,  1.24899314e-10,  1.32268033e-01,  1.49859225e-01,  1.79957424e+01,  2.08652998e+01,   -3.333333e-01,   -3.333333e-01,      -3.333333e-01,      -3.333333e-01,  3.000000e-01,  3.000000e-01,     3.000000e-01,     3.000000e-01,  0.000000e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,      5.234994e+02,  -1.133979e+02,       2.000000e-02,       2.000000e-02,         0,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,       0.000000e+00,  4.99428935e+07,  5.66477357e+07
